title,description,servings,ingredients,instructions,nutrition
Rosol (Polish Chicken Soup),Rosol (Polish Chicken Soup) from Polish - Chicken,1,4 Chopped Chicken Legs; 2 large Onions; 5 chopped Carrots; 1 chopped Leek; 1 small Celery; 1/4 Cabbage; 1 whole Cloves; 1tsp Allspice; 2 Bay Leaf; 4 sprigs Parsley; 4 sprigs Dill; 1 tsp Pepper; 1 tbs Salt,"Add chicken to a large Dutch oven or stock pot 
Cover with water
Bring to a boil and simmer for 2 to 2 1/2 hours, skimming any impurities off the top to insure a clear broth
If your pot is big enough, add the vegetables and spices for the last hour of the cooking time
My Dutch oven wasn’t big enough to hold everything, just the chicken and other bones filled the pot, so I cooked the meat/bones for the full cooking time, then removed them, and cooked the vegetables and spices separately
Strain everything out of the broth
Bone the chicken, pulling the meat into large chunks
Slice the carrots
Return the chicken and carrots to the broth
Cook noodles according to package instructions if you’re using them
Add noodles to bowl and then top with hot soup",698
Chicken Fajita Mac and Cheese,Chicken Fajita Mac and Cheese from American - Chicken,1,500g macaroni; 2 cups chicken stock; 1/2 cup heavy cream; 1 packet fajita seasoning; 1 tsp salt; 3 diced chicken breast; 2 tbsp olive oil; 1 small finely diced onion; 2 finely diced red pepper; 2 cloves minced garlic; 1 cup cheddar cheese; garnish chopped parsley,"Fry your onion, peppers and garlic in olive oil until nicely translucent. Make a well in your veg and add your chicken. Add your seasoning and salt. Allow to colour slightly.
Add your cream, stock and macaroni.
Cook on low for 20 minutes. Add your cheeses, stir to combine.
Top with roasted peppers and parsley.",978
Crock Pot Chicken Baked Tacos,Crock Pot Chicken Baked Tacos from Mexican - Chicken,1,4 - 6 Chicken Breasts; 1 bottle Vinaigrette Dressing; 1½ tablespoon Cumin; 1 tablespoon Smoked Paprika; 1 teaspoon Garlic; 1 can Refried Beans; 12 Hard Taco Shells; 2 cups Shredded Mexican Cheese; Halved Grape Tomatoes; Sliced and Seeded Jalapeno; Peeled and Sliced Avocado; 2 tablespoons Green Salsa; 3 tablespoons Sour Cream; 1 tablespoon Milk,"Put the uncooked chicken breasts in the crock pot. Pour the full bottle of salad dressing over the chicken. Sprinkle the rest of the ingredients over the top and mix them in a bit with a spoon.
Cover your crock pot with the lid and cook on high for 4 hours.
Remove all the chicken breasts from the crock pot and let cool.
Shred the chicken breasts and move to a glass bowl.
Pour most of the liquid over the shredded chicken.
FOR THE TACOS:
Make the guacamole sauce by mixing the avocado and green salsa together. Pour the guacamole mixture through a strainer until smooth and transfer to a squeeze bottle. Cut the tip off the lid of the squeeze bottle to make the opening more wide if needed.
Make the sour cream sauce by mixing the sour cream and milk together until you get a more liquid sour cream sauce. Transfer to a squeeze bottle.
In a 9x 13 glass baking dish, fill all 12+ tacos with a layer of refried beans, cooked chicken and shredded cheese.
Bake at 450 for 10-15 minutes just until the cheese is melted and bubbling.
Out of the oven top all the tacos with the sliced grape tomaotes, jalapeno and cilantro.
Finish with a drizzle of guacamole and sour cream.
Enjoy!",927
Salmon Prawn Risotto,Salmon Prawn Risotto from Italian - Seafood,1,50g/2oz butter; 1 finely chopped onion; 150g rice; 125ml white wine; 1 litre hot vegetable stock; The juice and zest of one lemon; 240g large King Prawns; 150g salmon; 100g tips blanched briefly in boiling water asparagus; ground black pepper; 50g shavings Parmesan,"Melt the butter in a thick-based pan and gently cook the onion without colour until it is soft.
Add the rice and stir to coat all the grains in the butter
Add the wine and cook gently stirring until it is absorbed
Gradually add the hot stock, stirring until each addition is absorbed. Keep stirring until the rice is tender
Season with the lemon juice and zest, and pepper to taste. (there will probably be sufficient saltiness from the salmon to not need to add salt) Stir gently to heat through
Serve scattered with the Parmesan and seasonal vegetables.
Grill the salmon and gently place onto the risotto with the prawns and asparagus",109
Salmon Avocado Salad,Salmon Avocado Salad from British - Seafood,1,400g Salmon; 3 Avocado; 1 Cucumber; 400g Spinach; 4 tbs Mint; zest and juice of 1 Lime; 2 tsp Honey; 3 tbs Olive Oil,"Season the salmon, then rub with oil. Mix the dressing ingredients together. Halve, stone, peel and slice the avocados. Halve and quarter the cucumber lengthways, then cut into slices. Divide salad, avocado and cucumber between four plates, then drizzle with half the dressing.

Heat a non-stick pan. Add the salmon and fry for 3-4 mins on each side until crisp but still moist inside. Put a salmon fillet on top of each salad and drizzle over the remaining dressing. Serve warm.",413
Honey Teriyaki Salmon,Honey Teriyaki Salmon from Japanese - Seafood,1,1 lb Salmon; 1 tablespoon Olive oil; 2 tablespoons Soy Sauce; 2 tablespoons Sake; 4 tablespoons Sesame Seed,"Mix all the ingredients in the Honey Teriyaki Glaze together. Whisk to blend well. Combine the salmon and the Glaze together.

Heat up a skillet on medium-low heat. Add the oil, Pan-fry the salmon on both sides until it’s completely cooked inside and the glaze thickens.

Garnish with sesame and serve immediately.",452
Salmon Eggs Eggs Benedict,Salmon Eggs Eggs Benedict from American - Breakfast,1,4 Eggs; 2 tbs White Wine Vinegar; 2 English Muffins; To serve Butter; 8 slices Smoked Salmon; 2 tsp Lemon Juice; 2 tsp White Wine Vinegar; 3 Yolkes Egg; 125g Unsalted Butter,"First make the Hollandaise sauce. Put the lemon juice and vinegar in a small bowl, add the egg yolks and whisk with a balloon whisk until light and frothy. Place the bowl over a pan of simmering water and whisk until mixture thickens. Gradually add the butter, whisking constantly until thick – if it looks like it might be splitting, then whisk off the heat for a few mins. Season and keep warm.

To poach the eggs, bring a large pan of water to the boil and add the vinegar. Lower the heat so that the water is simmering gently. Stir the water so you have a slight whirlpool, then slide in the eggs one by one. Cook each for about 4 mins, then remove with a slotted spoon.

Lightly toast and butter the muffins, then put a couple of slices of salmon on each half. Top each with an egg, spoon over some Hollandaise and garnish with chopped chives.",634
Baked salmon with fennel & tomatoes,Baked salmon with fennel & tomatoes from British - Seafood,1,2 medium Fennel; 2 tbs chopped Parsley; Juice of 1 Lemon; 175g Cherry Tomatoes; 1 tbs Olive Oil; 350g Salmon; to serve Black Olives,"Heat oven to 180C/fan 160C/gas 4. Trim the fronds from the fennel and set aside. Cut the fennel bulbs in half, then cut each half into 3 wedges. Cook in boiling salted water for 10 mins, then drain well. Chop the fennel fronds roughly, then mix with the parsley and lemon zest.

Spread the drained fennel over a shallow ovenproof dish, then add the tomatoes. Drizzle with olive oil, then bake for 10 mins. Nestle the salmon among the veg, sprinkle with lemon juice, then bake 15 mins more until the fish is just cooked. Scatter over the parsley and serve.",244
Mediterranean Pasta Salad,Mediterranean Pasta Salad from Italian - Seafood,1,200 g mozzarella balls; 250 g baby plum tomatoes; 1  bunch fresh basil; 350 g farfalle; 3  tablespoons extra virgin olive oil; 40 g Green Olives; 200 g tuna; to taste salt; to taste pepper,"Bring a large saucepan of salted water to the boil
Add the pasta, stir once and cook for about 10 minutes or as directed on the packet.
Meanwhile, wash the tomatoes and cut into quarters. Slice the olives. Wash the basil.
Put the tomatoes into a salad bowl and tear the basil leaves over them. Add a tablespoon of olive oil and mix.
When the pasta is ready, drain into a colander and run cold water over it to cool it quickly.
Toss the pasta into the salad bowl with the tomatoes and basil.
Add the sliced olives, drained mozzarella balls, and chunks of tuna. Mix well and let the salad rest for at least half an hour to allow the flavours to mingle.
Sprinkle the pasta with a generous grind of black pepper and drizzle with the remaining olive oil just before serving.",454
Beef Asado,Beef Asado from Filipino - Beef,1,1.5kg Beef; 1 Beef Stock Concentrate; 8 ounces Tomato Puree; 3 cups Water; 6 tablespoons Soy Sauce; 1 tbs White Wine Vinegar; 2 tbs Pepper; 4 Bay Leaf; 1/2 Lemon; 2 tbs Tomato Sauce; 3 tbs Butter; 1/2 cup Olive Oil; 1 chopped Onion; 4 cloves Garlic,"0.	Combine beef, crushed peppercorn, soy sauce, vinegar, dried bay leaves, lemon, and tomato sauce. Mix well. Marinate beef for at least 30 minutes.
1.	Put the marinated beef in a cooking pot along with remaining marinade. Add water. Let boil.
2.	Add Knorr Beef Cube. Stir. Cover the pot and cook for 40 minutes in low heat.
3.	Turn the beef over. Add tomato paste. Continue cooking until beef tenderizes. Set aside.
4.	Heat oil in a pan. Fry the potato until it browns. Turn over and continue frying the opposite side. Remove from the pan and place on a clean plate. Do the same with the carrots.
5.	Save 3 tablespoons of cooking oil from the pan where the potato was fried. Saute onion and garlic until onion softens.
6.	Pour-in the sauce from the beef stew. Let boil. Add the beef. Cook for 2 minutes.
7.	Add butter and let it melt. Continue cooking until the sauce reduces to half.",503
Beef Lo Mein,Beef Lo Mein from Chinese - Beef,1,1/2 lb Beef; pinch Salt; pinch Pepper; 2 tsp Sesame Seed Oil; 1/2 Egg; 3 tbs Starch; 5 tbs Oil; 1/4 lb Noodles; 1/2 cup Onion; 1 tsp Minced Garlic; 1 tsp Ginger; 1 cup Bean Sprouts; 1 cup Mushrooms; 1 cup Water; 1 tbs Oyster Sauce; 1 tsp Sugar; 1 tsp Soy Sauce,"STEP 1 - MARINATING THE BEEF
In a bowl, add the beef, salt, 1 pinch white pepper, 1 Teaspoon sesame seed oil, 1/2 egg, corn starch,1 Tablespoon of oil and mix together.
STEP 2 - BOILING THE THE NOODLES
In a 6 qt pot add your noodles to boiling water until the noodles are submerged and boil on high heat for 10 seconds. After your noodles is done boiling strain and cool with cold water.
STEP 3 - STIR FRY
Add 2 Tablespoons of oil, beef and cook on high heat untill beef is medium cooked.
Set the cooked beef aside
In a wok add 2 Tablespoon of oil, onions, minced garlic, minced ginger, bean sprouts, mushrooms, peapods and 1.5 cups of water or until the vegetables are submerged in water.
Add the noodles to wok
To make the sauce, add oyster sauce, 1 pinch white pepper, 1 teaspoon sesame seed oil, sugar, and 1 Teaspoon of soy sauce.
Next add the beef to wok and stir-fry",694
Beef Rendang,Beef Rendang from Malaysian - Beef,1,1lb Beef; 5 tbs Vegetable Oil; 1 Cinnamon Stick; 3 Cloves; 3 Star Anise; 3 Cardamom; 1 cup Coconut Cream; 1 cup Water; 2 tbs Tamarind Paste; 6 Lime; 1 tbs Sugar; 5 Challots,"Chop the spice paste ingredients and then blend it in a food processor until fine.
Heat the oil in a stew pot, add the spice paste, cinnamon, cloves, star anise, and cardamom and stir-fry until aromatic. Add the beef and the pounded lemongrass and stir for 1 minute. Add the coconut milk, tamarind juice, water, and simmer on medium heat, stirring frequently until the meat is almost cooked. Add the kaffir lime leaves, kerisik (toasted coconut), sugar or palm sugar, stirring to blend well with the meat.
Lower the heat to low, cover the lid, and simmer for 1 to 1 1/2 hours or until the meat is really tender and the gravy has dried up. Add more salt and sugar to taste. Serve immediately with steamed rice and save some for overnight.",737
Beef Mechado,Beef Mechado from Filipino - Beef,1,3 cloves Garlic; 1 sliced Onion; 2 Lbs Beef; 8 ounces Tomato Puree; 1 cup Water; 3 tbs Olive Oil; 1 Slice Lemon; 1 large Potatoes; 1/4 cup Soy Sauce; 1/2 tsp Black Pepper; 2 Bay Leaves; To taste Salt,"0.	Make the beef tenderloin marinade by combining soy sauce, vinegar, ginger, garlic, sesame oil, olive oil, sugar, salt, and ground black pepper in a large bowl. Mix well.
1.	Add the cubed beef tenderloin to the bowl with the beef tenderloin marinade. Gently toss to coat the beef. Let it stay for 1 hour.
2.	Using a metal or bamboo skewer, assemble the beef kebob by skewering the vegetables and marinated beef tenderloin.
3.	Heat-up the grill and start grilling the beef kebobs for 3 minutes per side. This will give you a medium beef that is juicy and tender on the inside. Add more time if you want your beef well done, but it will be less tender.
4.	Transfer to a serving plate. Serve with Saffron rice.
5.	Share and enjoy!
",99
Szechuan Beef,Szechuan Beef from Chinese - Beef,1,1/2 lb Beef; 1/2 tsp Salt; 1 tsp Sesame Seed Oil; 1 pinch Pepper; 1 Egg White; 3 tbs Starch; 4 tbs Oil; 1 tsp Ginger; 1 tsp Garlic; 3/4 cup Onion; 1/2 cup Carrots; 3/4 cup Green Pepper; 1 cup Celery; 1 cup Mushrooms; 1 tbs Cooking wine; 1 cup Water; 1 tbs Oyster Sauce; 1/2 tsp Hotsauce; 1 tsp Sugar; 1 tbs Soy Sauce,"STEP 1 - MARINATING THE BEEF
In a bowl, add the beef, salt, sesame seed oil, white pepper, egg white, 2 Tablespoon of corn starch and 1 Tablespoon of oil.
STEP 2 - STIR FRY
First Cook the beef by adding 2 Tablespoon of oil until the beef is golden brown.
Set the beef aside
In a wok add 1 Tablespoon of oil, minced ginger, minced garlic and stir-fry for few seconds.
Next add all of the vegetables and then add sherry cooking wine and 1 cup of water.
To make the sauce add oyster sauce, hot pepper sauce, and sugar.
add the cooked beef and 1 spoon of soy sauce
To thicken the sauce, whisk together 1 Tablespoon of cornstarch and 2 Tablespoon of water in a bowl and slowly add to your stir-fry until it's the right thickness.",513
Beef Caldereta,Beef Caldereta from Filipino - Beef,1,2kg cut cubes Beef; 1 Beef Stock; 1 tbs Soy Sauce; 2 cups Water; 1 sliced Green Pepper; 1 sliced Red Pepper; 1 sliced Potatoes; 1 sliced Carrots; 8 ounces Tomato Puree; 3  tablespoons Peanut Butter; 5 Chilli Powder; 1 chopped Onion; 5 cloves Garlic; 3 tbs Olive Oil,"0.	Heat oil in a cooking pot. Saute onion and garlic until onion softens
1.	Add beef. Saute until the outer part turns light brown.
2.	Add soy sauce. Pour tomato sauce and water. Let boil.
3.	Add Knorr Beef Cube. Cover the pressure cooker. Cook for 30 minutes.
4.	Pan-fry carrot and potato until it browns. Set aside.
5.	Add chili pepper, liver spread and peanut butter. Stir.
6.	Add bell peppers, fried potato and carrot. Cover the pot. Continue cooking for 5 to 7 minutes.
7.	Season with salt and ground black pepper. Serve.
",39
Beef Wellington,Beef Wellington from British - Beef,1,400g mushrooms; 1-2tbsp English Mustard; Dash Olive Oil; 750g piece Beef Fillet; 6-8 slices Parma ham; 500g Puff Pastry; Dusting Flour; 2 Beaten Egg Yolks,"Put the mushrooms into a food processor with some seasoning and pulse to a rough paste. Scrape the paste into a pan and cook over a high heat for about 10 mins, tossing frequently, to cook out the moisture from the mushrooms. Spread out on a plate to cool.
Heat in a frying pan and add a little olive oil. Season the beef and sear in the hot pan for 30 secs only on each side. (You don't want to cook it at this stage, just colour it). Remove the beef from the pan and leave to cool, then brush all over with the mustard.
Lay a sheet of cling film on a work surface and arrange the Parma ham slices on it, in slightly overlapping rows. With a palette knife, spread the mushroom paste over the ham, then place the seared beef fillet in the middle. Keeping a tight hold of the cling film from the edge, neatly roll the Parma ham and mushrooms around the beef to form a tight barrel shape. Twist the ends of the cling film to secure. Chill for 15-20 mins to allow the beef to set and keep its shape.
Roll out the puff pastry on a floured surface to a large rectangle, the thickness of a £1 coin. Remove the cling film from the beef, then lay in the centre. Brush the surrounding pastry with egg yolk. Fold the ends over, the wrap the pastry around the beef, cutting off any excess. Turn over, so the seam is underneath, and place on a baking sheet. Brush over all the pastry with egg and chill for about 15 mins to let the pastry rest.
Heat the oven to 200C, 400F, gas 6.
Lightly score the pastry at 1cm intervals and glaze again with beaten egg yolk. Bake for 20 minutes, then lower the oven setting to 180C, 350F, gas 4 and cook for another 15 mins. Allow to rest for 10-15 mins before slicing and serving with the side dishes of your choice. The beef should still be pink in the centre when you serve it.",126
Beef stroganoff,Beef stroganoff from Russian - Beef,1,1 tbls Olive Oil; 1 Onions; 1 clove Garlic; 1 tbsp Butter; 250g Mushrooms; 500g Beef Fillet; 1tbsp Plain Flour; 150g Creme Fraiche; 1 tbsp English Mustard; 100ml Beef Stock; Topping Parsley,"Heat the olive oil in a non-stick frying pan then add the sliced onion and cook on a medium heat until completely softened, so around 15 mins, adding a little splash of water if they start to stick at all. Crush in the garlic and cook for a 2-3 mins further, then add the butter. Once the butter is foaming a little, add the mushrooms and cook for around 5 mins until completely softened. Season everything well, then tip onto a plate.
Tip the flour into a bowl with a big pinch of salt and pepper, then toss the steak in the seasoned flour. Add the steak pieces to the pan, splashing in a little oil if the pan looks particularly dry, and fry for 3-4 mins, until well coloured. Tip the onions and mushrooms back into the pan. Whisk the crème fraîche, mustard and beef stock together, then pour into the pan. Cook over a medium heat for around 5 mins. Scatter with parsley, then serve with pappardelle or rice.",812
Minced Beef Pie,Minced Beef Pie from British - Beef,1,2 tbs Vegetable Oil; 500g Minced Beef; 1 chopped Onion; 1 tbls Tomato Puree; 1 ½ tbsp Plain Flour; 75g Mushrooms; 250ml Beef Stock; Dash Worcestershire Sauce; 400g Shortcrust Pastry; 1 Egg Yolks,"Preheat the oven to 200C/400F/Gas 6.
Heat the oil in a deep frying pan and fry the beef mince for 4-5 minutes, breaking it up with a wooden spoon as it browns.
Add the onion and cook for 2-3 minutes, then stir in the tomato purée and cook for 2-3 more minutes. Stir in the flour and cook for a further minute, then add the chopped mushrooms, the stout or beef stock and a couple of dashes of Worcestershire sauce. Bring to the boil, then reduce the heat, cover the pan with a lid and leave to simmer for 20 minutes. Set aside and leave to cool, then turn the meat mixture into a one litre pie dish.
Roll out the pastry on a floured work surface until it is slightly larger than the pie dish. Gently drape the pastry over the dish, pressing firmly onto the edges. Trim, then shape the edges into a fluted shape.
Cut some leaf shapes out of the pastry trimmings and decorate the top of the pie, sticking them to the pastry with the beaten egg yolk.
Make three or four slits in the pastry to allow the steam to escape, then brush the pie with the rest of the beaten egg yolk and bake in the oven for 20-25 minutes, or until golden-brown.
To serve, slice into wedges.",860
Beef Bourguignon,Beef Bourguignon from French - Beef,1,3 tsp Goose Fat; 600g Beef Shin; 100g Bacon; 350g Challots; 250g Chestnut Mushroom; 2 sliced Garlic Clove; 1 Bouquet Garni; 1 tbs Tomato Puree; 750 ml Red Wine; 600g Celeriac; 2 tbs Olive Oil; sprigs of fresh Thyme; sprigs of fresh Rosemary; 2 Bay Leaf; 4 Cardamom,"Heat a large casserole pan and add 1 tbsp goose fat. Season the beef and fry until golden brown, about 3-5 mins, then turn over and fry the other side until the meat is browned all over, adding more fat if necessary. Do this in 2-3 batches, transferring the meat to a colander set over a bowl when browned.
In the same pan, fry the bacon, shallots or pearl onions, mushrooms, garlic and bouquet garni until lightly browned. Mix in the tomato purée and cook for a few mins, stirring into the mixture. This enriches the bourguignon and makes a great base for the stew. Then return the beef and any drained juices to the pan and stir through.
Pour over the wine and about 100ml water so the meat bobs up from the liquid, but isn’t completely covered. Bring to the boil and use a spoon to scrape the caramelised cooking juices from the bottom of the pan – this will give the stew more flavour.
Heat oven to 150C/fan 130C/gas 2. Make a cartouche: tear off a square of foil slightly larger than the casserole, arrange it in the pan so it covers the top of the stew and trim away any excess foil. Then cook for 3 hrs. If the sauce looks watery, remove the beef and veg with a slotted spoon, and set aside. Cook the sauce over a high heat for a few mins until the sauce has thickened a little, then return the beef and vegetables to the pan.
To make the celeriac mash, peel the celeriac and cut into cubes. Heat the olive oil in a large frying pan. Tip in the celeriac and fry for 5 mins until it turns golden. Season well with salt and pepper. Stir in the rosemary, thyme, bay and cardamom pods, then pour over 200ml water, enough to nearly cover the celeriac. Turn the heat to low, partially cover the pan and leave to simmer for 25-30 mins.
After 25-30 mins, the celeriac should be soft and most of the water will have evaporated. Drain away any remaining water, then remove the herb sprigs, bay and cardamom pods. Lightly crush with a potato masher, then finish with a glug of olive oil and season to taste. Spoon the beef bourguignon into serving bowls and place a large spoonful of the celeriac mash on top. Garnish with one of the bay leaves, if you like.",584
Beef Sunday Roast,Beef Sunday Roast from British - Beef,1,8 slices Beef; 12 florets Broccoli; 1 Packet Potatoes; 1 Packet Carrots; 140g plain flour; 4 Eggs; 200ml milk; drizzle (for cooking) sunflower oil,"Cook the Broccoli and Carrots in a pan of boiling water until tender.

Roast the Beef and Potatoes in the oven for 45mins, the potatoes may need to be checked regularly to not overcook.

To make the Yorkshire puddings:
Heat oven to 230C/fan 210C/gas 8. Drizzle a little sunflower oil evenly into 2 x 4-hole Yorkshire pudding tins or a 12-hole non-stick muffin tin and place in the oven to heat through
To make the batter, tip 140g plain flour into a bowl and beat in four eggs until smooth. Gradually add 200ml milk and carry on beating until the mix is completely lump-free. Season with salt and pepper. Pour the batter into a jug, then remove the hot tins from the oven. Carefully and evenly pour the batter into the holes. Place the tins back in the oven and leave undisturbed for 20-25 mins until the puddings have puffed up and browned. Serve immediately.

Plate up and add the Gravy as desired.",745
Beef Dumpling Stew,Beef Dumpling Stew from British - Beef,1,2 tbs Olive Oil; 25g Butter; 750g Beef; 2 tblsp Plain Flour; 2 cloves minced Garlic; 175g Onions; 150g Celery; 150g Carrots; 2 chopped Leek; 200g Swede; 150ml Red Wine; 500g Beef Stock; 2 Bay Leaf; 3 tbs Thyme; 3 tblsp chopped Parsley; 125g Plain Flour; 1 tsp Baking Powder; 60g Suet; Splash Water,"Preheat the oven to 180C/350F/Gas 4.

For the beef stew, heat the oil and butter in an ovenproof casserole and fry the beef until browned on all sides.

Sprinkle over the flour and cook for a further 2-3 minutes.

Add the garlic and all the vegetables and fry for 1-2 minutes.

Stir in the wine, stock and herbs, then add the Worcestershire sauce and balsamic vinegar, to taste. Season with salt and freshly ground black pepper.

Cover with a lid, transfer to the oven and cook for about two hours, or until the meat is tender.

For the dumplings, sift the flour, baking powder and salt into a bowl.
Add the suet and enough water to form a thick dough.

With floured hands, roll spoonfuls of the dough into small balls.

After two hours, remove the lid from the stew and place the balls on top of the stew. Cover, return to the oven and cook for a further 20 minutes, or until the dumplings have swollen and are tender. (If you prefer your dumplings with a golden top, leave the lid off when returning to the oven.)

To serve, place a spoonful of mashed potato onto each of four serving plates and top with the stew and dumplings. Sprinkle with chopped parsley.",64
Braised Beef Chilli,Braised Beef Chilli from Mexican - Beef,1,1kg Beef; 3 Onions; 4 cloves Garlic; Dash Olive oil; 300g Chorizo; 2 tsp Cumin; 2 tsp Allspice; 1 tsp Cloves; 1 large Cinnamon stick; 3 Bay Leaves; 2 tsp dried Oregano; 2 ancho Ancho Chillies; 3 tbsp Balsamic Vinegar; 2 x 400g Plum Tomatoes; 2 tbsp Tomato Ketchup; 2 tbsp Dark Brown Sugar; 2 x 400g tins Borlotti Beans,"Preheat the oven to 120C/225F/gas mark 1.

Take the meat out of the fridge to de-chill. Pulse the onions and garlic in a food processor until finely chopped. Heat 2 tbsp olive oil in a large casserole and sear the meat on all sides until golden.

Set to one side and add another small slug of oil to brown the chorizo. Remove and add the onion and garlic, spices, herbs and chillies then cook until soft in the chorizo oil. Season with salt and pepper and add the vinegar, tomatoes, ketchup and sugar.

Put all the meat back into the pot with 400ml water (or red wine if you prefer), bring up to a simmer and cook, covered, in the low oven.

After 2 hours, check the meat and add the beans. Cook for a further hour and just before serving, pull the meat apart with a pair of forks.",965
Massaman Beef curry,Massaman Beef curry from Thai - Beef,1,"85g Peanuts; 400ml can Coconut cream; 4 tbsp Massaman curry paste; 600g stewing cut into strips Beef; 450g waxy Potatoes; 1 cut thin wedges Onion; 4 leaves Lime; 1 Cinnamon stick; 1 tbsp Tamarind paste; 1 tbsp palm or soft light Brown sugar; 1 tbsp Fish Sauce; 1 red deseeded and finely sliced, to serve chilli; to serve Jasmine Rice","Heat oven to 200C/180C fan/gas 6, then roast the peanuts on a baking tray for 5 mins until golden brown. When cool enough to handle, roughly chop. Reduce oven to 180C/160C fan/gas 4.
Heat 2 tbsp coconut cream in a large casserole dish with a lid. Add the curry paste and fry for 1 min, then stir in the beef and fry until well coated and sealed. Stir in the rest of the coconut with half a can of water, the potatoes, onion, lime leaves, cinnamon, tamarind, sugar, fish sauce and most of the peanuts. Bring to a simmer, then cover and cook for 2 hrs in the oven until the beef is tender.
Sprinkle with sliced chilli and the remaining peanuts, then serve straight from the dish with jasmine rice.",871
